epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5943,1.03162,3.06691,1.31392,0.40299,0.58537,0.46033,0.33583,0.91043,1.75984,1.24332,0.000255243,0.000255243,0.000255243
2,40.0752,1.05671,2.09572,1.2667,0.46647,0.59621,0.54399,0.38008,1.0118,1.6444,1.29074,0.000506511,0.000506511,0.000506511
3,59.5441,1.06549,1.79665,1.25914,0.55618,0.61358,0.56632,0.39386,0.98989,1.55049,1.29918,0.000752705,0.000752705,0.000752705
4,78.0755,1.05869,1.60383,1.25165,0.46427,0.58392,0.5107,0.36072,0.9787,1.5638,1.25272,0.000746161,0.000746161,0.000746161
5,96.1904,1.03251,1.41587,1.22343,0.60065,0.65431,0.6309,0.46102,0.90313,1.24509,1.1887,0.000738548,0.000738548,0.000738548
6,114.419,0.98936,1.27857,1.19644,0.57788,0.62107,0.5794,0.42002,0.89942,1.44282,1.19131,0.000730935,0.000730935,0.000730935
7,132.273,1.00178,1.21634,1.2111,0.6085,0.69548,0.67387,0.50089,0.87708,1.12681,1.1936,0.000723321,0.000723321,0.000723321
8,151.061,0.96577,1.12573,1.18314,0.64735,0.67179,0.69497,0.52159,0.86598,1.11603,1.1561,0.000715708,0.000715708,0.000715708
9,170.599,0.95694,1.07369,1.18021,0.65418,0.73753,0.73671,0.54656,0.8726,1.00585,1.17923,0.000708095,0.000708095,0.000708095
10,188.938,0.93299,1.04106,1.17291,0.71856,0.67605,0.72518,0.54499,0.85274,0.99871,1.15407,0.000700482,0.000700482,0.000700482
11,207.395,0.91548,0.99579,1.1589,0.70961,0.69386,0.70992,0.5447,0.85632,0.97513,1.1631,0.000692869,0.000692869,0.000692869
12,224.522,0.90615,0.94463,1.14565,0.75596,0.73192,0.79555,0.60973,0.81392,0.84798,1.11521,0.000685256,0.000685256,0.000685256
13,243.198,0.894,0.92661,1.14438,0.69919,0.7493,0.75782,0.58903,0.81715,0.88838,1.12322,0.000677643,0.000677643,0.000677643
14,261.208,0.88389,0.89491,1.13904,0.66752,0.69091,0.69783,0.54762,0.82539,1.00989,1.12875,0.00067003,0.00067003,0.00067003
15,279.702,0.878,0.86029,1.13711,0.72659,0.74061,0.76793,0.60089,0.78966,0.91462,1.10782,0.000662417,0.000662417,0.000662417
16,296.807,0.86534,0.84894,1.13089,0.75387,0.79518,0.82298,0.64617,0.78437,0.78282,1.11002,0.000654804,0.000654804,0.000654804
17,314.432,0.86423,0.82867,1.13014,0.72325,0.72625,0.7729,0.61032,0.77966,0.88581,1.10046,0.00064719,0.00064719,0.00064719
18,333.912,0.86591,0.8043,1.13285,0.74763,0.75843,0.79296,0.61929,0.82437,0.83245,1.14116,0.000639577,0.000639577,0.000639577
19,352.909,0.84346,0.78379,1.11407,0.77502,0.73532,0.77629,0.61558,0.77155,0.85369,1.09885,0.000631964,0.000631964,0.000631964
20,369.974,0.85483,0.78584,1.1208,0.73013,0.77306,0.79381,0.62863,0.76488,0.85138,1.0824,0.000624351,0.000624351,0.000624351
21,388.122,0.83664,0.7756,1.11128,0.73502,0.76899,0.77873,0.61751,0.77777,0.85731,1.09671,0.000616738,0.000616738,0.000616738
22,405.426,0.82105,0.73268,1.10576,0.76497,0.77851,0.82529,0.65629,0.77122,0.78375,1.09861,0.000609125,0.000609125,0.000609125
23,422.602,0.83829,0.74569,1.11487,0.75628,0.79798,0.81172,0.64168,0.78565,0.79071,1.09059,0.000601512,0.000601512,0.000601512
24,440.166,0.81362,0.71275,1.1027,0.79507,0.7853,0.84879,0.67852,0.75262,0.76059,1.08421,0.000593899,0.000593899,0.000593899
25,458.735,0.81834,0.69832,1.09954,0.77254,0.76594,0.79363,0.62769,0.78102,0.82688,1.10957,0.000586286,0.000586286,0.000586286
26,476.525,0.81302,0.68661,1.09773,0.74918,0.78344,0.80565,0.63242,0.76202,0.80015,1.09044,0.000578672,0.000578672,0.000578672
27,493.947,0.80428,0.68029,1.09161,0.7647,0.77892,0.82057,0.65599,0.7605,0.77688,1.08397,0.000571059,0.000571059,0.000571059
28,511.754,0.79698,0.67182,1.09138,0.76552,0.75362,0.80811,0.64942,0.7577,0.84306,1.0946,0.000563446,0.000563446,0.000563446
29,528.638,0.78478,0.65577,1.08417,0.75608,0.7853,0.81492,0.64681,0.77434,0.80385,1.09383,0.000555833,0.000555833,0.000555833
30,546.109,0.78741,0.64635,1.08879,0.76962,0.80723,0.83884,0.67381,0.75919,0.77211,1.07798,0.00054822,0.00054822,0.00054822
31,564.23,0.78557,0.63959,1.08796,0.79317,0.77052,0.8342,0.66723,0.75743,0.74817,1.08113,0.000540607,0.000540607,0.000540607
32,582.708,0.78578,0.62059,1.08246,0.81184,0.7516,0.83853,0.66927,0.75823,0.73405,1.09446,0.000532994,0.000532994,0.000532994
33,602.584,0.7691,0.62055,1.07284,0.78565,0.78966,0.83064,0.67274,0.75144,0.73983,1.08199,0.000525381,0.000525381,0.000525381
34,620.811,0.76247,0.61656,1.07282,0.77912,0.79241,0.83308,0.67219,0.75086,0.7284,1.07366,0.000517768,0.000517768,0.000517768
35,638.343,0.77,0.61539,1.07701,0.76326,0.82663,0.83516,0.67387,0.73089,0.71868,1.06463,0.000510155,0.000510155,0.000510155
36,656.666,0.76741,0.60061,1.0833,0.79244,0.8122,0.84446,0.68263,0.73571,0.71598,1.07391,0.000502541,0.000502541,0.000502541
37,673.51,0.75877,0.59253,1.06951,0.78123,0.80092,0.83527,0.6756,0.74174,0.73353,1.06411,0.000494928,0.000494928,0.000494928
38,690.926,0.75358,0.59347,1.07053,0.80998,0.79365,0.82692,0.67044,0.73357,0.76054,1.06888,0.000487315,0.000487315,0.000487315
39,708.857,0.74518,0.56924,1.0634,0.81284,0.81149,0.83701,0.68065,0.71849,0.70033,1.04368,0.000479702,0.000479702,0.000479702
40,726.401,0.7491,0.58173,1.07,0.78969,0.7986,0.83929,0.68454,0.71801,0.71664,1.04848,0.000472089,0.000472089,0.000472089
41,743.314,0.74444,0.56431,1.06612,0.78142,0.81739,0.84295,0.68675,0.73407,0.69391,1.06149,0.000464476,0.000464476,0.000464476
