epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8702,1.03666,2.39359,1.27853,0.44352,0.56687,0.4671,0.30954,1.03217,1.54665,1.33223,0.000255243,0.000255243,0.000255243
2,41.9571,1.09443,1.51121,1.27376,0.38969,0.52529,0.4142,0.27357,1.11348,1.93149,1.38358,0.000507355,0.000507355,0.000507355
3,61.8684,1.12884,1.43364,1.29362,0.48465,0.53683,0.49426,0.33695,1.0958,1.53992,1.38559,0.000755239,0.000755239,0.000755239
4,81.5448,1.11177,1.40119,1.28263,0.4624,0.54954,0.50639,0.34654,1.07133,1.45667,1.32801,0.000749967,0.000749967,0.000749967
5,102.723,1.08653,1.30361,1.25915,0.5561,0.60647,0.59068,0.41737,0.99892,1.34119,1.26472,0.000743623,0.000743623,0.000743623
6,124.145,1.02226,1.2223,1.21733,0.69058,0.63624,0.64256,0.46741,0.92595,1.19315,1.20551,0.000737279,0.000737279,0.000737279
7,144.532,1.02341,1.18063,1.22529,0.61215,0.6353,0.64708,0.47683,0.8919,1.10712,1.19558,0.000730935,0.000730935,0.000730935
8,164.067,0.99782,1.13779,1.20532,0.50881,0.5935,0.56064,0.4041,0.92681,1.46223,1.20759,0.00072459,0.00072459,0.00072459
9,183.603,0.9775,1.05464,1.19277,0.65552,0.73018,0.71067,0.52754,0.8743,0.98857,1.1656,0.000718246,0.000718246,0.000718246
10,202.917,0.96008,1.03573,1.18875,0.64788,0.67591,0.68285,0.50798,0.89435,1.01921,1.17786,0.000711902,0.000711902,0.000711902
11,222.715,0.94035,0.99584,1.17315,0.70741,0.64995,0.68822,0.52515,0.86461,1.05561,1.17033,0.000705558,0.000705558,0.000705558
12,241.772,0.91727,0.96839,1.15722,0.71221,0.64319,0.69335,0.52141,0.86232,1.01831,1.16545,0.000699213,0.000699213,0.000699213
13,260.928,0.90234,0.92959,1.15148,0.71781,0.72674,0.77555,0.58717,0.83022,0.90353,1.14205,0.000692869,0.000692869,0.000692869
14,280.34,0.89243,0.88854,1.14736,0.66832,0.74054,0.73058,0.56055,0.84299,0.97876,1.13874,0.000686525,0.000686525,0.000686525
15,298.948,0.89454,0.87832,1.14827,0.71317,0.74834,0.7663,0.58948,0.83276,0.90208,1.13733,0.000680181,0.000680181,0.000680181
16,317.665,0.87241,0.85311,1.13724,0.67486,0.75856,0.75641,0.59226,0.78675,0.90905,1.10253,0.000673836,0.000673836,0.000673836
